Metabolite	Score	Normalized score	No. of reactions	No. of positive reactions	No. of negative reactions	candidate reactions	positive reactions	negative reactions	Positive score	Negative score
4pasp_c	0.812803507069108	0.5747388716207741	2	1	1	ASPK_reverse;ASAD_reverse	ASPK_reverse	ASAD_reverse	0.639120427282	-0.173683079787
4per_c	7.249685040643748e-05	5.126301453705865e-05	2	1	0	E4PD_reverse;PERD	E4PD_reverse		7.24968504064e-05	0.0
4ppan_c	0.0003023220713892962	0.0003023220713892962	1	0	1	PPNCL2		PPNCL2	0.0	-0.000302322071389
4ppcys_c	0.0003023220713892962	0.0003023220713892962	1	0	1	PPCDC		PPCDC	0.0	-0.000302322071389
4r5au_c	0.0004681793188871368	0.0004681793188871368	1	0	1	RBFSa		RBFSa	0.0	-0.000468179318887
56dura_c	0.0	0.0	1	0	0	DURADx			0.0	0.0
5aizc_c	0.2824889099176163	0.19974982381274226	2	0	1	AIRC3;PRASCSi		PRASCSi	0.0	-0.282488909918
5aop_c	0.002809075913321566	0.0019863166271774733	2	1	1	PPBNGS;G1SAT_reverse	G1SAT_reverse	PPBNGS	0.00187271727555	-0.000936358637774
5aprbu_c	0.0002340896594435684	0.0002340896594435684	1	0	1	PMDPHT		PMDPHT	0.0	-0.000234089659444
5apru_c	0.0002340896594435684	0.0002340896594435684	1	0	1	APRAUR		APRAUR	0.0	-0.000234089659444
5caiz_c	0.2824889099176163	0.2824889099176163	1	0	1	AIRC3_reverse		AIRC3_reverse	0.0	-0.282488909918
5dglcn_c	0.0	0.0	4	0	0	IDOND2;IDOND;5DGLCNR;5DGLCNt2rpp_reverse			0.0	0.0
5dglcn_e	0.0	0.0	2	0	0	EX_5dglcn_LPAREN_e_RPAREN_;5DGLCNtex			0.0	0.0
5dglcn_p	0.0	0.0	2	0	0	5DGLCNt2rpp;5DGLCNtex_reverse			0.0	0.0
5dh4dglc_c	0.0	0.0	1	0	0	GLCRAL			0.0	0.0
5drib_c	0.00011833095407886326	0.00011833095407886326	1	0	1	DM_5DRIB		DM_5DRIB	0.0	-0.000118330954079
5fthf_c	0.0	0.0	1	0	0	FOMETRi			0.0	0.0
5mta_c	0.0	0.0	1	0	0	MTAN			0.0	0.0
5mthf_c	0.08101806413973639	0.057288422551814246	2	0	1	METS;Ec_biomass_iJO1366_WT_53p95M		METS	0.0	-0.0810180641397
5mtr_c	0.0	0.0	1	0	0	5MTRtpp			0.0	0.0
5mtr_e	0.0	0.0	2	0	0	5MTRtex;EX_5mtr_LPAREN_e_RPAREN_			0.0	0.0
5mtr_p	0.0	0.0	1	0	0	5MTRtex_reverse			0.0	0.0
5prdmbz_c	0.0	0.0	1	0	0	RZ5PP			0.0	0.0
6hmhpt_c	0.0007022689783304706	0.0004965791567944244	2	1	1	DHNPA2r_reverse;HPPK2	DHNPA2r_reverse	HPPK2	0.000351134489165	-0.000351134489165
6hmhptpp_c	0.0003511344891652353	0.0003511344891652353	1	0	1	DHPS2		DHPS2	0.0	-0.000351134489165
6pgc_c	0.0	0.0	2	0	0	EDD;GND			0.0	0.0
6pgl_c	0.0	0.0	2	0	0	PGL;G6PDH2r_reverse			0.0	0.0
8aonn_c	1.563711046447807e-07	1.563711046447807e-07	1	1	0	AMAOTr	AMAOTr		1.56371104645e-07	0.0
ACP_c	0.21585064619239425	0.06231071434196675	12	1	3	MCOATA;UAGAAT_reverse;AACPS9;ACOATA;AACPS4;AACPS5;AACPS6;AACPS7;AACPS8;AACPS1;AACPS2;AACPS3	UAGAAT_reverse	AACPS4;AACPS7;AACPS3	0.0204235354894	-0.195427110703
LalaDgluMdapDala_c	0.0	0.0	2	0	0	4PCP;UM4PL			0.0	0.0
LalaDgluMdapDala_e	0.0	0.0	2	0	0	4PEPTtex;EX_LalaDgluMdapDala_LPAREN_e_RPAREN_			0.0	0.0
LalaDgluMdapDala_p	0.0	0.0	3	0	0	4PEPTabcpp;4PEPTtex_reverse;4PCPpp			0.0	0.0
LalaDgluMdap_c	0.002236014735445475	0.0015811011822665394	2	0	1	UM3PL;LADGMDH		LADGMDH	0.0	-0.00223601473545
LalaDgluMdap_e	0.0	0.0	2	0	0	3PEPTtex;EX_LalaDgluMdap_LPAREN_e_RPAREN_			0.0	0.0
LalaDgluMdap_p	0.0	0.0	2	0	0	3PEPTabcpp;3PEPTtex_reverse			0.0	0.0
LalaDglu_c	0.002236014735445475	0.002236014735445475	1	0	1	ALAGLUE		ALAGLUE	0.0	-0.00223601473545
LalaDglu_e	0.0	0.0	2	0	0	LALADGLUtex;EX_LalaDglu_LPAREN_e_RPAREN_			0.0	0.0
LalaDglu_p	0.0	0.0	2	0	0	LALADGLUtpp;LALADGLUtex_reverse			0.0	0.0
LalaLglu_c	0.002236014735445475	0.0015811011822665394	2	0	1	ALAGLUE_reverse;LALGP		LALGP	0.0	-0.00223601473545
LalaLglu_e	0.0	0.0	2	0	0	LALALGLUtex;EX_LalaLglu_LPAREN_e_RPAREN_			0.0	0.0
LalaLglu_p	0.0	0.0	2	0	0	LALALGLUtpp;LALALGLUtex_reverse			0.0	0.0
N1aspmd_c	0.0	0.0	0	0	0				0.0	0.0
Nmtrp_c	0.0	0.0	1	0	0	MTRPOX			0.0	0.0
Sfglutth_c	0.0	0.0	2	0	0	FALDH2_reverse;SFGTHi			0.0	0.0
aacald_c	0.0	0.0	1	0	0	DM_AACALD			0.0	0.0
aacoa_c	0.2260074331895173	0.15981138860687324	2	2	0	HACD1;ACACT1r_reverse	HACD1;ACACT1r_reverse		0.22600743319	0.0
aact_c	0.0	0.0	2	0	0	AACTOOR;APPLDHr			0.0	0.0
acACP_c	0.007256474103420306	0.005131102046033071	2	0	1	ACOATA_reverse;KAS14		ACOATA_reverse	0.0	-0.00725647410342
ac_c	0.1540209769344414	0.08892405249394889	3	0	1	ACS;ACt2rpp_reverse;ACKr		ACKr	0.0	-0.154020976934
ac_e	0.0	0.0	2	0	0	ACtex;EX_ac_LPAREN_e_RPAREN_			0.0	0.0
ac_p	0.0	0.0	3	0	0	ACtex_reverse;ACt4pp;ACt2rpp			0.0	0.0
acac_c	0.0	0.0	2	0	0	ACACt2pp_reverse;ACACCT			0.0	0.0
acac_e	0.0	0.0	2	0	0	ACACtex;EX_acac_LPAREN_e_RPAREN_			0.0	0.0
acac_p	0.0	0.0	2	0	0	ACACtex_reverse;ACACt2pp			0.0	0.0
acald_c	0.20294233656983862	0.09075857201656012	5	1	1	ACALDtpp_reverse;ALCD2x_reverse;ALDD2y;ALDD2x;ACALD	ALDD2y	ACALD	0.19862320723	-0.00431912933947
acald_e	0.0	0.0	2	0	0	ACALDtex;EX_acald_LPAREN_e_RPAREN_			0.0	0.0
acald_p	0.0	0.0	2	0	0	ACALDtex_reverse;ACALDtpp			0.0	0.0
acanth_c	0.0	0.0	0	0	0				0.0	0.0
accoa_c	2.809633216594383	0.496677675025215	32	3	10	ACGS;SERAT;MALS;TDPADGAT;SPMDAT2;ACACT3r;POR5_reverse;ACACT2r;O16AT;ACACT6r;ACACT4r;PTAr;Ec_biomass_iJO1366_WT_53p95M;ACOATA;IPPS;G1PACT;KAS15;ACANTHAT;ACACT1r;ACACT7r;CS;HXCT;ACACCT;BUTCT;ACACT8r_reverse;SPMDAT1;GLCATr;MALTATr;ACACT5r;ACALD_reverse;GLYAT;ACCOAC	POR5_reverse;ACACT7r;ACALD_reverse	ACGS;IPPS;G1PACT;MALS;ACACT5r;ACACT4r;CS;ACACT3r;ACCOAC;ACACT2r	0.292748644935	-2.51688457166
acetol_c	0.0	0.0	1	0	0	ALR4x			0.0	0.0
acg5p_c	0.004963787288300953	0.004963787288300953	1	0	1	AGPR_reverse		AGPR_reverse	0.0	-0.0049637872883
acg5sa_c	0.3694147933678583	0.213281730393563	3	1	1	ACOTA_reverse;AGPR;NACODA	AGPR	ACOTA_reverse	0.18222550304	-0.187189290328
acgal1p_e	0.0	0.0	2	0	0	EX_acgal1p_LPAREN_e_RPAREN_;ACGAL1Ptex			0.0	0.0
acgal1p_p	0.0	0.0	2	0	0	ACGAL1Ptex_reverse;ACGAL1PPpp			0.0	0.0
acgal_e	0.0	0.0	2	0	0	EX_acgal_LPAREN_e_RPAREN_;ACGALtex			0.0	0.0
acgal_p	0.0	0.0	1	0	0	ACGALtex_reverse			0.0	0.0
acgam1p_c	0.05406544593163985	0.05406544593163985	1	0	1	UAGDP		UAGDP	0.0	-0.0540654459316
acgam1p_e	0.0	0.0	2	0	0	EX_acgam1p_LPAREN_e_RPAREN_;ACGAM1Ptex			0.0	0.0
acgam1p_p	0.0	0.0	2	0	0	ACGAM1PPpp;ACGAM1Ptex_reverse			0.0	0.0
acgam6p_c	0.00447202947089095	0.003162202364533079	2	0	1	AMANAPEr_reverse;AGDC		AGDC	0.0	-0.00447202947089
acgam_c	0.002236014735445475	0.002236014735445475	1	0	1	ACGAMK		ACGAMK	0.0	-0.00223601473545
acgam_e	0.0	0.0	2	0	0	ACGAtex;EX_acgam_LPAREN_e_RPAREN_			0.0	0.0
acgam_p	0.0	0.0	2	0	0	ACGAptspp;ACGAtex_reverse			0.0	0.0
acglc_DASH_D_c	0.0	0.0	1	0	0	GLCATr_reverse			0.0	0.0
acglu_c	0.18718929032807965	0.18718929032807965	1	0	1	ACGK		ACGK	0.0	-0.187189290328
acmalt_c	0.0	0.0	1	0	0	MALTATr_reverse			0.0	0.0
acmana_c	0.0	0.0	1	0	0	AMANK			0.0	0.0
acmana_e	0.0	0.0	2	0	0	EX_acmana_LPAREN_e_RPAREN_;ACMANAtex			0.0	0.0
acmana_p	0.0	0.0	2	0	0	ACMANAtex_reverse;ACMANAptspp			0.0	0.0
acmanap_c	0.0	0.0	1	0	0	AMANAPEr			0.0	0.0
acmum6p_c	0.002236014735445475	0.002236014735445475	1	0	1	ACM6PH		ACM6PH	0.0	-0.00223601473545
acmum_e	0.0	0.0	2	0	0	EX_acmum_LPAREN_e_RPAREN_;ACMUMtex			0.0	0.0
acmum_p	0.0	0.0	1	0	0	ACMUMptspp			0.0	0.0
acnam_c	0.0	0.0	1	0	0	ACNML			0.0	0.0
acnam_e	0.0	0.0	2	0	0	EX_acnam_LPAREN_e_RPAREN_;ACNAMtex			0.0	0.0
acnam_p	0.0	0.0	2	0	0	ACNAMtex_reverse;ACNAMt2pp			0.0	0.0
acolipa_e	0.0	0.0	1	0	0	EX_acolipa_LPAREN_e_RPAREN_			0.0	0.0
acolipa_p	0.0	0.0	1	0	0	ACOLIPAabctex			0.0	0.0
acon_DASH_C_c	1.2233935809899643	0.7063266133094162	3	1	0	ACONIs_reverse;ACONTb;ACONTa_reverse	ACONTa_reverse		1.22339358099	0.0
acon_DASH_T_c	0.0	0.0	2	0	0	ACONIs;ACONMT			0.0	0.0
aconm_c	0.0	0.0	0	0	0				0.0	0.0
acorn_c	0.18718929032807965	0.13236281655648252	2	0	1	ACOTA;ACODA		ACODA	0.0	-0.187189290328
acser_c	0.29305963774991484	0.16919806074352756	3	1	1	CYSS;ACSERtpp;SERAT_reverse	SERAT_reverse	CYSS	0.146529818875	-0.146529818875
acser_e	0.0	0.0	2	0	0	EX_acser_LPAREN_e_RPAREN_;ACSERtex			0.0	0.0
acser_p	0.0	0.0	1	0	0	ACSERtex_reverse			0.0	0.0
actACP_c	0.0	0.0	1	0	0	3OAR40			0.0	0.0
actp_c	0.1540209769344414	0.10890927723532032	2	0	1	ACKr_reverse;PTAr_reverse		PTAr_reverse	0.0	-0.154020976934
ade_c	0.033370964543089195	0.014923949038616529	5	0	3	PUNP2_reverse;ADD;ADPT;PUNP1_reverse;ADEt2rpp_reverse		ADD;PUNP1_reverse;ADEt2rpp_reverse	0.0	-0.0333709645431
ade_e	0.013414808451541351	0.009485702024403499	2	0	1	ADEtex;EX_ade_LPAREN_e_RPAREN_		EX_ade_LPAREN_e_RPAREN_	0.0	-0.0134148084515
ade_p	0.013414808451541351	0.009485702024403499	2	0	1	ADEt2rpp;ADEtex_reverse		ADEtex_reverse	0.0	-0.0134148084515
adn_c	0.0004165786378246165	0.0001862996304300215	5	0	1	ADNUC;ADNK1;ADNt2rpp_reverse;PUNP1;ADA		ADNK1	0.0	-0.000416578637825
adn_e	0.0	0.0	2	0	0	ADNtex;EX_adn_LPAREN_e_RPAREN_			0.0	0.0
adn_p	0.0	0.0	3	0	0	ADNt2pp;ADNt2rpp;ADNtex_reverse			0.0	0.0
adocbi_c	0.0	0.0	2	0	0	CBIAT_reverse;ADOCBIK			0.0	0.0
adocbip_c	0.0	0.0	1	0	0	ACBIPGT			0.0	0.0
adocbl_c	0.0	0.0	2	0	0	Ec_biomass_iJO1366_WT_53p95M;CBLAT_reverse			0.0	0.0
adocbl_e	0.0	0.0	2	0	0	EX_adocbl_LPAREN_e_RPAREN_;ADOCBLtonex			0.0	0.0
adocbl_p	0.0	0.0	1	0	0	ADOCBLabcpp			0.0	0.0
adp_c	25.283507907444427	4.336085833566154	34	12	3	NDPK4_reverse;NDPK8_reverse;PPK2r_reverse;PRAGSr_reverse;NDPK2_reverse;PPKr_reverse;ThDPAT;PGK_reverse;CBMKr_reverse;CYTK1_reverse;ACKr_reverse;DTMPK_reverse;CYTK2_reverse;ADK4_reverse;UMPK_reverse;DGK1_reverse;NDPK3_reverse;PPAKr;ADK1_reverse;ALAALAr_reverse;GK1_reverse;NDPK7_reverse;ASPK_reverse;NDPK6_reverse;NDPK1_reverse;SUCOAS_reverse;GALKr_reverse;NDPK5_reverse;ADK3_reverse;PYK;RNDR1;DADK_reverse;ATPS4rpp;RNDR1b	NDPK4_reverse;UMPK_reverse;GK1_reverse;ALAALAr_reverse;NDPK3_reverse;ASPK_reverse;PRAGSr_reverse;CBMKr_reverse;CYTK1_reverse;NDPK2_reverse;PPKr_reverse;DTMPK_reverse	PGK_reverse;ATPS4rpp;SUCOAS_reverse	2.96645206072	-22.3170558467
adpglc_c	0.0	0.0	1	0	0	GLCS1			0.0	0.0
adphep_DASH_DD_c	0.0	0.0	1	0	0	AGMHE			0.0	0.0
adphep_DASH_LD_c	0.0	0.0	4	0	0	HEPT4;HEPT2;HEPT3;HEPT1			0.0	0.0
adprib_c	0.0	0.0	1	0	0	ADPRDP			0.0	0.0
ag_c	0.0	0.0	1	0	0	AGt3			0.0	0.0
ag_e	0.0	0.0	1	0	0	EX_ag_LPAREN_e_RPAREN_			0.0	0.0
agdpcbi_c	0.0	0.0	1	0	0	ADOCBLS			0.0	0.0
agm_c	0.02192915138903497	0.015506251652853024	2	0	1	AGMT;ARGAGMt7pp		AGMT	0.0	-0.021929151389
agm_e	0.0	0.0	2	0	0	EX_agm_LPAREN_e_RPAREN_;AGMtex			0.0	0.0
agm_p	0.0	0.0	2	0	0	AGMtex_reverse;ARGAGMt7pp_reverse			0.0	0.0
ahcys_c	0.00023537578380060888	0.00023537578380060888	1	0	1	AHCYSNS		AHCYSNS	0.0	-0.000235375783801
ahdt_c	0.0003511344891652353	0.00020272759184131035	3	0	1	CPH4S;DHPTPE;DNTPPA		DNTPPA	0.0	-0.000351134489165
aicar_c	0.43078986789584495	0.3046144368556089	2	1	1	AICART;ADSL2r_reverse	ADSL2r_reverse	AICART	0.282474535595	-0.148315332301
air_c	0.2826059547473381	0.19983258700554132	2	0	2	AIRC2;AMPMS2		AIRC2;AMPMS2	0.0	-0.282605954747
akg_c	5.434041833261221	1.2150886931749667	20	4	6	ABTA;OHPBAT_reverse;UDPKAAT_reverse;SDPTA;AKGt2rpp_reverse;AKGDH;SOTA;GLUDy_reverse;PHETA1;GLUSy;TAUDO;TYRTA;ACOTA;ILETA;VALTA;ASPTA;PTRCTA;ALATA_L;ICDHyr_reverse;SEPHCHCS	ASPTA;OHPBAT_reverse;ICDHyr_reverse;ALATA_L	ABTA;AKGDH;SOTA;GLUDy_reverse;ILETA;PTRCTA	1.6122426971	-3.82179913616
akg_e	0.0	0.0	2	0	0	EX_akg_LPAREN_e_RPAREN_;AKGtex			0.0	0.0
akg_p	0.0	0.0	2	0	0	AKGt2rpp;AKGtex_reverse			0.0	0.0
ala_DASH_B_c	0.0003023220713892962	0.0003023220713892962	1	0	1	PANTS		PANTS	0.0	-0.000302322071389
ala_DASH_B_e	0.0	0.0	2	0	0	EX_ala_DASH_B_LPAREN_e_RPAREN_;BALAtex			0.0	0.0
ala_DASH_B_p	0.0	0.0	2	0	0	BALAtex_reverse;BALAt2pp			0.0	0.0
ala_DASH_D_c	0.024546404903212072	0.012273202451606036	4	1	1	ALATA_D2;ALAALAr;DAAD;ALAR_reverse	ALAR_reverse	DAAD	0.0232119078159	-0.00133449708734
ala_DASH_D_e	0.0	0.0	2	0	0	EX_ala_DASH_D_LPAREN_e_RPAREN_;DALAtex			0.0	0.0
ala_DASH_D_p	0.0086328937917885	0.006104377741436895	2	0	1	DALAtex_reverse;DALAt2pp		DALAt2pp	0.0	-0.00863289379179
ala_DASH_L_c	0.6943134634975398	0.21956119547724035	10	1	3	AOXSr2;ALATA_L2;Ec_biomass_iJO1366_core_53p95M;ALATA_L;VPAMTr;ALAR;ALATRS;Ec_biomass_iJO1366_WT_53p95M;UAMAS;ALAt2rpp_reverse	ALATA_L	AOXSr2;UAMAS;Ec_biomass_iJO1366_core_53p95M	0.152626487069	-0.541686976429
ala_DASH_L_e	0.0	0.0	2	0	0	EX_ala_DASH_L_LPAREN_e_RPAREN_;ALAtex			0.0	0.0
ala_DASH_L_p	0.0	0.0	5	0	0	ALAt2rpp;ALAt4pp;ALAabcpp;ALAt2pp;ALAtex_reverse			0.0	0.0
alaala_c	0.035427166353652874	0.02045388403090714	3	1	2	UGMDDS;ALAALAD;ALAALAr_reverse	ALAALAr_reverse	UGMDDS;ALAALAD	0.0172657875836	-0.0181613787701
alaala_e	0.0	0.0	2	0	0	ALAALAtex;EX_alaala_LPAREN_e_RPAREN_			0.0	0.0
alaala_p	0.0008955911864988723	0.0006332786011442585	2	0	1	ALAALAabcpp;ALAALAtex_reverse		ALAALAabcpp	0.0	-0.000895591186499
alac_DASH_S_c	0.0563543695860935	0.0563543695860935	1	1	0	KARA1_reverse	KARA1_reverse		0.0563543695861	0.0
alatrna_c	0.0	0.0	0	0	0				0.0	0.0
all6p_c	0.0	0.0	1	0	0	ALLPI			0.0	0.0
all_DASH_D_c	0.0	0.0	1	0	0	ALLK			0.0	0.0
all_DASH_D_e	0.0	0.0	2	0	0	EX_all_DASH_D_LPAREN_e_RPAREN_;ALLtex			0.0	0.0
all_DASH_D_p	0.0	0.0	2	0	0	ALLtex_reverse;ALLabcpp			0.0	0.0
alltn_c	0.03392660324252106	0.02398973121541215	2	0	2	ALLTNt2rpp_reverse;ALLTN		ALLTNt2rpp_reverse;ALLTN	0.0	-0.0339266032425
alltn_e	0.010033480916304634	0.007094742394824821	2	0	1	EX_alltn_LPAREN_e_RPAREN_;ALLTNtex		EX_alltn_LPAREN_e_RPAREN_	0.0	-0.0100334809163
alltn_p	0.010033480916304634	0.007094742394824821	2	0	1	ALLTNtex_reverse;ALLTNt2rpp		ALLTNtex_reverse	0.0	-0.0100334809163
alltt_c	0.023893122326216428	0.023893122326216428	1	0	1	ALLTAMH		ALLTAMH	0.0	-0.0238931223262
allul6p_c	0.0	0.0	2	0	0	ALLPI_reverse;ALLULPE			0.0	0.0
alpp_p	0.0	0.0	2	0	0	ALPATE160pp;ALPATG160pp			0.0	0.0
altrn_c	0.0	0.0	2	0	0	TAGURr;ALTRH			0.0	0.0
amet_c	0.5251015811733163	0.11741628305961589	20	1	5	DMQMT;ADMDC;AMMQLT8;CFAS160G;Ec_biomass_iJO1366_core_53p95M;CFAS160E;LIPOS;MALCOAMT;AMAOTr;UPP3MT;OMBZLM;Ec_biomass_iJO1366_WT_53p95M;BTS5;HCYSMT;OHPHM;CFAS180E;CFAS180G;CPPPGO2;ACONMT;TYRL	AMAOTr	UPP3MT;MALCOAMT;BTS5;Ec_biomass_iJO1366_core_53p95M;TYRL	1.56371104645e-07	-0.525101424802
ametam_c	0.0	0.0	2	0	0	APCS;SPMS			0.0	0.0
amob_c	2.820462971915404e-06	1.994368493526945e-06	2	1	1	AMAOTr_reverse;DM_AMOB	AMAOTr_reverse	DM_AMOB	1.50652775808e-06	-1.31393521383e-06
amp_c	2.6240241229782004	0.9917878948049551	7	3	1	AMPN;NTD7;ADK4;ADK3;ADK1;ADSL1r_reverse;PRPPS_reverse	ADSL1r_reverse;ADK3;ADK1	AMPN	2.59100686517	-0.0330172578052
amp_e	0.0	0.0	2	0	0	EX_amp_LPAREN_e_RPAREN_;AMPtex			0.0	0.0
amp_p	0.0	0.0	2	0	0	AMPtex_reverse;NTD7pp			0.0	0.0
anhgm3p_c	0.002236014735445475	0.0015811011822665394	2	0	1	AGM3PH;AGM3PA		AGM3PA	0.0	-0.00223601473545
anhgm3p_p	0.0008955911864988723	0.0006332786011442585	2	0	1	AGM3PApp;AGM3Pt2pp		AGM3Pt2pp	0.0	-0.000895591186499
anhgm4p_c	0.001340423548946603	0.0007738938968124348	3	0	1	AGM4PA;AGM4PH;AGM4PCP		AGM4PCP	0.0	-0.00134042354895
anhgm4p_p	0.001340423548946603	0.0007738938968124348	3	0	1	AGM4Pt2pp;AGM4PCPpp;AGM4PApp		AGM4Pt2pp	0.0	-0.00134042354895
anhgm_c	0.002236014735445475	0.002236014735445475	1	0	1	AGMH		AGMH	0.0	-0.00223601473545
anhgm_e	0.0	0.0	2	0	0	EX_anhgm_LPAREN_e_RPAREN_;ANHGMtex			0.0	0.0
anhgm_p	0.0	0.0	2	0	0	AGMt2pp;ANHGMtex_reverse			0.0	0.0
anhm3p_c	0.0	0.0	1	0	0	AM3PA			0.0	0.0
anhm4p_c	0.0	0.0	2	0	0	AM4PCP;AM4PA			0.0	0.0
anhm_c	0.002236014735445475	0.002236014735445475	1	0	1	ANHMK		ANHMK	0.0	-0.00223601473545
anth_c	2.868223198432001	2.0281400735678363	2	1	0	ACANTHAT;ANPRT	ANPRT		2.86822319843	0.0
ap4a_c	0.0	0.0	1	0	0	AP4AH			0.0	0.0
ap5a_c	0.0	0.0	1	0	0	AP5AH			0.0	0.0
apg120_c	0.0	0.0	0	0	0				0.0	0.0
apg140_c	0.0	0.0	0	0	0				0.0	0.0
apg141_c	0.0	0.0	0	0	0				0.0	0.0
apg160_c	0.0	0.0	0	0	0				0.0	0.0
apg161_c	0.0	0.0	0	0	0				0.0	0.0
apg180_c	0.0	0.0	0	0	0				0.0	0.0
apg181_c	0.0	0.0	0	0	0				0.0	0.0
apoACP_c	0.0	0.0	1	0	0	ACPS1			0.0	0.0
appl_c	0.0	0.0	1	0	0	APPLDHr_reverse			0.0	0.0
aps_c	0.13009973751089546	0.13009973751089546	1	0	1	ADSK		ADSK	0.0	-0.130099737511
ara5p_c	0.022146294922189384	0.015659795317637316	2	1	1	A5PISO_reverse;KDOPS	A5PISO_reverse	KDOPS	0.00172275943281	-0.0204235354894
arab_DASH_L_c	0.0	0.0	3	0	0	ARBt2rpp_reverse;ARAI;ARBt3ipp			0.0	0.0
arab_DASH_L_e	0.0	0.0	2	0	0	EX_arab_DASH_L_LPAREN_e_RPAREN_;ARBtex			0.0	0.0
arab_DASH_L_p	0.0	0.0	3	0	0	ARBtex_reverse;ARBt2rpp;ARBabcpp			0.0	0.0
aragund_c	0.0	0.0	1	0	0	O16GLCT1			0.0	0.0
arbt6p_c	0.0	0.0	1	0	0	AB6PGH			0.0	0.0
arbt_e	0.0	0.0	2	0	0	EX_arbt_LPAREN_e_RPAREN_;ARBTtex			0.0	0.0
arbt_p	0.0	0.0	1	0	0	ARBTptspp			0.0	0.0
arbtn_DASH_fe3_c	0.0	0.0	3	0	0	ARBTNR2;ARBTNR3;ARBTNR1			0.0	0.0
arbtn_DASH_fe3_e	0.0	0.0	2	0	0	EX_arbtn_DASH_fe3_LPAREN_e_RPAREN_;ARBTNtonex			0.0	0.0
arbtn_DASH_fe3_p	0.0	0.0	1	0	0	ARBTNabcpp			0.0	0.0
arbtn_c	0.0	0.0	1	0	0	ARBTNtpp			0.0	0.0
arbtn_e	0.0	0.0	2	0	0	EX_arbtn_LPAREN_e_RPAREN_;ARBTNexs			0.0	0.0
arbtn_p	0.0	0.0	1	0	0	ARBTNtex			0.0	0.0
arg_DASH_L_c	0.7439925064349996	0.24799750214499985	9	1	4	ARGSL_reverse;ARGt3pp;Ec_biomass_iJO1366_core_53p95M;AST;ARGAGMt7pp_reverse;ARGTRS;ARGDC;ARGORNt7pp_reverse;Ec_biomass_iJO1366_WT_53p95M	ARGSL_reverse	ARGt3pp;ARGDC;Ec_biomass_iJO1366_core_53p95M;AST	0.187189290328	-0.556803216107
arg_DASH_L_e	0.008018949644747978	0.005670253671794751	2	0	1	ARGtex;EX_arg_DASH_L_LPAREN_e_RPAREN_		EX_arg_DASH_L_LPAREN_e_RPAREN_	0.0	-0.00801894964475
arg_DASH_L_p	0.008018949644747978	0.0035861833027608534	5	0	1	ARGabcpp;ARGAGMt7pp;ARGDCpp;ARGtex_reverse;ARGORNt7pp		ARGtex_reverse	0.0	-0.00801894964475
argsuc_c	0.0	0.0	1	0	0	ARGSL			0.0	0.0
argtrna_c	0.0	0.0	0	0	0				0.0	0.0
ascb6p_c	0.0	0.0	1	0	0	ASCBPL			0.0	0.0
ascb_DASH_L_e	0.0	0.0	2	0	0	ASCBtex;EX_ascb_DASH_L_LPAREN_e_RPAREN_			0.0	0.0
ascb_DASH_L_p	0.0	0.0	2	0	0	ASCBtex_reverse;ASCBptspp			0.0	0.0
asn_DASH_L_c	0.5248647072723405	0.2347266328902963	5	0	1	ASNN;Ec_biomass_iJO1366_WT_53p95M;ASNTRS;Ec_biomass_iJO1366_core_53p95M;ASNt2rpp_reverse		Ec_biomass_iJO1366_core_53p95M	0.0	-0.524864707272
asn_DASH_L_e	0.0	0.0	2	0	0	ASNtex;EX_asn_DASH_L_LPAREN_e_RPAREN_			0.0	0.0
asn_DASH_L_p	0.0	0.0	4	0	0	ASNNpp;ASNt2rpp;ASNtex_reverse;ASNabcpp			0.0	0.0
asntrna_c	0.0	0.0	0	0	0				0.0	0.0
aso3_c	0.0	0.0	1	0	0	ASO3t8pp			0.0	0.0
aso3_e	0.0	0.0	2	0	0	ASO3tex;EX_aso3_LPAREN_e_RPAREN_			0.0	0.0
aso3_p	0.0	0.0	1	0	0	ASO3tex_reverse			0.0	0.0
aso4_c	0.0	0.0	1	0	0	ASR			0.0	0.0
asp_DASH_L_c	2.7859362989053507	0.6566514829699087	18	2	8	ASP1DC;ASPO3;ADSS;Ec_biomass_iJO1366_core_53p95M;ASPt2rpp_reverse;ASNS1;ASNS2;PRASCSi;ASPK;ASPT;ASPCT;Ec_biomass_iJO1366_WT_53p95M;ASPTA;ARGSS;ASPO4;ASPO5;ASPO6;ASPTRS	ASPT;ASPTA	ASP1DC;ADSS;Ec_biomass_iJO1366_core_53p95M;ASNS2;PRASCSi;ASPCT;ARGSS;ASPO6	1.29984295489	-1.48609334402
asp_DASH_L_e	0.0	0.0	2	0	0	EX_asp_DASH_L_LPAREN_e_RPAREN_;ASPtex			0.0	0.0
asp_DASH_L_p	0.0	0.0	7	0	0	ASPt2_3pp;ASPabcpp;ASPt2rpp;SUCASPtpp;ASPt2pp;ASPtex_reverse;ASPt2_2pp			0.0	0.0
aspsa_c	1.1045577747772883	0.6377167286031615	3	1	2	ASAD;HSDy_reverse;DHDPS	ASAD	HSDy_reverse;DHDPS	0.465437347495	-0.639120427282
asptrna_c	0.0	0.0	0	0	0				0.0	0.0
athr_DASH_L_c	0.0	0.0	2	0	0	THRA2i;ATHRDHr			0.0	0.0
athtp_c	0.0	0.0	0	0	0				0.0	0.0
